Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","192.168.11.131","tcp","8282","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache-Coyote/1.1"
"10107","","","None","192.168.11.131","tcp","8585","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.2.21 (Win64) PHP/5.3.10 DAV/2"
"10267","","","None","192.168.11.131","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_7.1
SSH supported authentication : publickey,password,keyboard-interactive
"
"10287","","","None","192.168.11.131","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.11.1 to 192.168.11.131 : 
192.168.11.1

ttl was greater than 50 - Completing Traceroute.

?

Hop Count: 1

An error was detected along the way.

"
"10546","CVE-1999-0499","5.0","Medium","192.168.11.131","udp","161","Microsoft Windows LAN Manager SNMP LanMan Users Disclosure","The list of LanMan users of the remote host can be obtained via SNMP.","It is possible to obtain the list of LanMan users on the remote host
	by sending SNMP requests with the OID 1.3.6.1.4.1.77.1.2.25.1.1

	An attacker may use this information to gain more knowledge about the
	target host.","Disable the SNMP service on the remote host if you do not use it, or
	filter incoming UDP packets going to this port.","","sshd
Guest
greedo
vagrant
han_solo
kylo_ren
boba_fett
chewbacca
ben_kenobi
jabba_hutt
artoo_detoo
c_three_pio
darth_vader
leia_organa
sshd_server
jarjar_binks
Administrator
luke_skywalker
anakin_skywalker
lando_calrissian
"
"10547","CVE-1999-0499","7.5","High","192.168.11.131","udp","161","Microsoft Windows LAN Manager SNMP LanMan Services Disclosure","The list of LanMan services running on the remote host can be obtained
via SNMP.","It is possible to obtain the list of LanMan services on the remote
host by sending SNMP requests with the OID 1.3.6.1.4.1.77.1.2.3.1.1

An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.","","jmx
Power
Server
jenkins
IP Helper
DNS Client
wampapache
wampmysqld
DHCP Client
Workstation
SNMP Service
VMware Tools
Plug and Play
Print Spooler
OpenSSH Server
Task Scheduler
Windows Update
Remote Registry
Windows Firewall
COM+ Event System
Windows Event Log
IPsec Policy Agent
Group Policy Client
Network Connections
RPC Endpoint Mapper
Software Protection
Network List Service
User Profile Service
Base Filtering Engine
Microsoft FTP Service
TCP/IP NetBIOS Helper
Application Experience
Cryptographic Services
Diagnostic System Host
COM+ System Application
Certificate Propagation
Remote Desktop Services
SPP Notification Service
Shell Hardware Detection
domain1 GlassFish Server
Apache Tomcat 8.0 Tomcat8
Diagnostic Policy Service
Security Accounts Manager
Network Location Awareness
VMware SVGA Helper Service
Windows Font Cache Service
Remote Procedure Call (RPC)
DCOM Server Process Launcher
Remote Desktop Configuration
MEDC Server Component - Apache
Application Host Helper Service
Network Store Interface Service
Distributed Link Tracking Client
System Event Notification Service
World Wide Web Publishing Service
Windows Management Instrumentation
Windows Process Activation Service
Distributed Transaction Coordinator
IKE and AuthIP IPsec Keying Modules
ManageEngine Desktop Central Server
Windows Licensing Monitoring Service
Desktop Window Manager Session Manager
VMware Alias Manager and Ticket Service
Windows Remote Management (WS-Management)
MEDC Server Component - Notification Server
Elasticsearch 1.1.1 (elasticsearch-service-x64)
Remote Desktop Services UserMode Port Redirector
"
"10550","","","None","192.168.11.131","udp","161","SNMP Query Running Process List Disclosure","The list of processes running on the remote host can be obtained via SNMP.","It is possible to obtain the list of running processes on the remote
host by sending SNMP requests with the OID 1.3.6.1.2.1.25.4.2.1.2

An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.","","
  PID   CPU   MEM COMMAND           ARGS
    1 28034    24 System Idle Process 
    4   135   304 System          
  232     0  1124 smss.exe        
  332     7  4556 csrss.exe       ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:User
  336     3 14116 svchost.exe     
  384     0  4292 wininit.exe     
  392     9 12572 csrss.exe       ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:User
  408    11  8336 sppsvc.exe      
  440     0  6144 winlogon.exe    
  488     3  8552 services.exe    
  496     8 10960 lsass.exe       
  504     0  5792 lsm.exe         
  612     2  9436 svchost.exe     
  684     1  8232 svchost.exe     
  756    12 12684 svchost.exe     
  828    50 33540 svchost.exe     
  880     6 13672 svchost.exe     
  924     2 11360 svchost.exe     
  984     8 19780 svchost.exe     
 1000     1 43328 mysqld.exe      wampmysqld
 1192     0 11152 spoolsv.exe     
 1200     2 10880 dcserverhttpd.exe 
 1240     0  9096 svchost.exe     
 1264     2  7608 wrapper.exe     
 1348     0  2732 conhost.exe     
 1352     0  4044 taskhost.exe    
 1364     0 14844 domain1Service.exe 
 1432    66 237760 elasticsearch-service-x64.exe  //RS//elasticsearch-service-x64
 1440     0  2652 conhost.exe     
 1472     0  8892 svchost.exe     
 1496    26 51688 jenkins.exe     
 1512    10 44012 java.exe        
 1556     0  2984 cmd.exe         /c """"C:/glassfish/glassfish4/glassfish/lib/nadmin.bat""  start-domain --watchdog --domaindir C:\\glassfish\\glassfish4\\glassfish
 1576     0  2736 conhost.exe     
 1612    10 57404 java.exe         -jar ""C:\glassfish\glassfish4\glassfish\lib\..\modules\admin-cli.jar"" start-domain --watchdog --domaindir C:\\glassfish\\glassf
 1824     0  2748 conhost.exe     
 1904    11 46656 jmx.exe         
 1928     0  2772 conhost.exe     
 1956   101 292200 java.exe        
 2036     0  4032 dcnotificationserver.exe 
 2056     0  2600 conhost.exe     
 2160     0  3512 dcrotatelogs.exe -l C:/ManageEngine/DesktopCentral_Server/logs/apache_errorlog_%Y-%m-%d-%H_%M.txt 5M
 2168     0  2732 conhost.exe     
 2224     2 17540 dcserverhttpd.exe -d C:/ManageEngine/DesktopCentral_Server/apache
 2232     0  5772 taskhost.exe    
 2248     0  6532 cygrunsrv.exe   
 2296     0  3512 dcrotatelogs.exe -l C:/ManageEngine/DesktopCentral_Server/logs/apache_errorlog_%Y-%m-%d-%H_%M.txt 5M
 2304     0  2740 conhost.exe     
 3092     0  2688 svchost.exe     
 3100     0  3528 vm3dservice.exe -n
 3144     0  2736 cmd.exe           /c ""C:\Program Files\jmx\start_jmx.bat""
 3152   115 505840 java.exe         -jar ""C:\Program Files\jenkins\jenkins.war"" --httpPort=8484
 3236     0  2716 conhost.exe     
 3272     0  7148 sshd.exe        
 3288     0  4860 dwm.exe         
 3296     5 22492 java.exe          -Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.port=1617 -Dcom.sun.management.jmxremote.authenticate=false -Dco
 3328     0 12656 httpd.exe       
 3348    10  7220 snmp.exe        
 3360     0 15064 httpd.exe       -d C:/wamp/bin/apache/Apache2.2.21
 3364    10 32032 explorer.exe    
 3464   124 229924 tomcat8.exe      //RS//Tomcat8
 3484     0  2664 conhost.exe     
 3512     1 10892 svchost.exe     -k iissvcs
 3672     0  4440 svchost.exe     
 3676     0  9224 VGAuthService.exe 
 3792     0  3836 vm3dservice.exe 
 3856     7 22860 vmtoolsd.exe     -n vmusr
 3880     2  5924 DesktopCentral.exe  
 4008    23 20924 vmtoolsd.exe    
 4044     0  5908 svchost.exe     
 4268     0  3288 wlms.exe        
 4796     0  6456 svchost.exe     
 5048     1 58520 powershell.exe   
 5064     1  4108 conhost.exe     
 5376    34 13904 WmiPrvSE.exe    
 5600     0 12232 w3wp.exe        -ap ""DefaultAppPool"" -v ""v2.0"" -l ""webengine4.dll"" -a \\.\pipe\iisipm3f3c4209-acfc-428b-b7e3-ec5b3ceb56b8 -h ""C:\inetpub\temp\ap
 5640     1 11380 dllhost.exe     
 6004     0  7756 msdtc.exe       
"
"10551","","","None","192.168.11.131","udp","161","SNMP Request Network Interfaces Enumeration","The list of network interfaces cards of the remote host can be obtained via
SNMP.","It is possible to obtain the list of the network interfaces installed
on the remote host by sending SNMP requests with the OID 1.3.6.1.2.1.2.1.0

An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.","","
 Interface 1 information :
 ifIndex       : 1
 ifDescr       : Software Loopback Interface 1"
"10800","","","None","192.168.11.131","udp","161","SNMP Query System Information Disclosure","The System Information of the remote host can be obtained via SNMP.","It is possible to obtain the system information about the remote
host by sending SNMP requests with the OID 1.3.6.1.2.1.1.1.

An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.","","System information :
 sysDescr     : Hardware: Intel64 Family 6 Model 142 Stepping 12 AT/AT COMPATIBLE - Software: Windows Version 6.1 (Build 7601 Multiprocessor Free)
 sysObjectID  : 1.3.6.1.4.1.311.1.1.3.1.2
 sysUptime    : 0d 12h 8m 32s
 sysContact   : 
 sysName      : metasploitable3-win2k8
 sysLocation  : 
 sysServices  : 76

"
"10863","","","None","192.168.11.131","tcp","8383","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: US
State/Province: CA
Locality: Pleasanton
Organization: Zoho Corporation
Organization Unit: ManageEngine
Common Name: Desktop Central
Email Address: support@desktopcentral.com

Issuer Name: 

Country: US
State/Province: CA
Locality: Pleasanton
Organization: Zoho Corporation
Organization Unit: ManageEngine
Common Name: Desktop Central
Email Address: support@desktopcentral.com

Serial Number: 00 F5 9C EF 71 E6 DB 72 A5 

Version: 3

Signature Algorithm: SHA-1 With RSA Encryption

Not Valid Before: Sep 08 12:24:44 2010 GMT
Not Valid After: Sep 05 12:24:44 2020 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 1024 bits
Public Key: 00 F9 60 14 BA 57 70 0F 76 0A 9A 58 09 22 8C 85 07 44 AE 0A 
            43 A7 82 85 26 91 59 AC 3D 2F FE 2E F2 8D D3 D6 CF 09 AD 41 
            47 42 17 08 A3 92 CF 69 0E 01 AC 8B B3 1D 2F 32 CD 97 F4 9B 
            7B E2 09 37 59 02 20 E7 D5 98 C2 DA 4A 2A B8 9E 77 AD F0 F3 
            A9 8C 59 16 B2 1D ED AE 10 61 40 AF 33 48 2A C7 99 D0 FA 5C 
            35 2A 86 3F 08 30 28 64 DF AC 3B B2 09 E1 69 0C 83 95 DB 81 
            35 A5 48 B0 5E 06 0D 20 33 
Exponent: 01 00 01 

Signature Length: 128 bytes / 1024 bits
Signature: 00 45 E8 52 31 9E 00 61 6A 50 49 AB C1 CC 0A C8 9D EE 9B 76 
           30 F9 58 89 5A 7B 82 B6 C8 92 8A 9A A5 72 3D 48 A7 EF CF E5 
           23 7B 45 14 76 31 45 22 8E 22 19 8E 71 20 B8 6E EA AF DE 6A 
           4E E6 A1 3E 5F 30 FB 49 F2 7D 95 57 9B 6C B1 90 0C 03 4A 3B 
           91 3F 7A 71 00 F5 21 91 C5 E2 03 5D 63 4E 7A 5E 2B 74 C2 81 
           7F CD 6B E7 81 35 00 86 4F 62 E8 B0 FE 40 F1 A1 53 E7 25 CE 
           17 B4 FF 87 19 D9 C9 BA F5 

Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: FE 7F CC F2 04 09 D8 AA 43 79 3A B2 17 5D 8E 52 E0 4B BF 1E 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: FE 7F CC F2 04 09 D8 AA 43 79 3A B2 17 5D 8E 52 E0 4B BF 1E 
Country: US
State/Province: CA
Locality: Pleasanton
Organization: Zoho Corporation
Organization Unit: ManageEngine
Common Name: Desktop Central
Email Address: support@desktopcentral.com
Serial Number: 00 F5 9C EF 71 E6 DB 72 A5 


Extension: Basic Constraints (2.5.29.19)
Critical: 0
CA: TRUE


Fingerprints : 

SHA-256 Fingerprint: C1 DF 75 68 62 FA 17 58 2C 31 E8 F8 EB DA 08 4D 1A 13 41 81 
                     5B 71 6E B1 35 AD 83 CD 7B 01 A5 A5 
SHA-1 Fingerprint: 70 1E 2E 6D F8 85 4C 4F 0B 29 8D FF 03 A2 C6 F0 BA C7 D3 15 
MD5 Fingerprint: 3D 69 FF A2 B1 00 71 35 72 8E C7 04 30 75 DA 29 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIID3TCCA0agAwIBAgIJAPWc73Hm23KlMA0GCSqGSIb3DQEBBQUAMIGmMQswCQYDVQQGEwJVUzELMAkGA1UECBMCQ0ExEzARBgNVBAcTClBsZWFzYW50b24xGTAXBgNVBAoTEFpvaG8gQ29ycG9yYXRpb24xFTATBgNVBAsTDE1hbmFnZUVuZ2luZTEYMBYGA1UEAxMPRGVza3RvcCBDZW50cmFsMSkwJwYJKoZIhvcNAQkBFhpzdXBwb3J0QGRlc2t0b3BjZW50cmFsLmNvbTAeFw0xMDA5MDgxMjI0NDRaFw0yMDA5MDUxMjI0NDRaMIGmMQswCQYDVQQGEwJVUzELMAkGA1UECBMCQ0ExEzARBgNVBAcTClBsZWFzYW50b24xGTAXBgNVBAoTEFpvaG8gQ29ycG9yYXRpb24xFTATBgNVBAsTDE1hbmFnZUVuZ2luZTEYMBYGA1UEAxMPRGVza3RvcCBDZW50cmFsMSkwJwYJKoZIhvcNAQkBFhpzdXBwb3J0QGRlc2t0b3BjZW50cmFsLmNvbTCBnzANBgkqhkiG9w0BAQEFAAOBjQAwgYkCgYEA+WAUuldwD3YKmlgJIoyFB0SuCkOngoUmkVmsPS/+LvKN09bPCa1BR0IXCKOSz2kOAayLsx0vMs2X9Jt74gk3WQIg59WYwtpKKried63w86mMWRayHe2uEGFArzNIKseZ0PpcNSqGPwgwKGTfrDuyCeFpDIOV24E1pUiwXgYNIDMCAwEAAaOCAQ8wggELMB0GA1UdDgQWBBT+f8zyBAnYqkN5OrIXXY5S4Eu/HjCB2wYDVR0jBIHTMIHQgBT+f8zyBAnYqkN5OrIXXY5S4Eu/HqGBrKSBqTCBpjELMAkGA1UEBhMCVVMxCzAJBgNVBAgTAkNBMRMwEQYDVQQHEwpQbGVhc2FudG9uMRkwFwYDVQQKExBab2hvIENvcnBvcmF0aW9uMRUwEwYDVQQLEwxNYW5hZ2VFbmdpbmUxGDAWBgNVBAMTD0Rlc2t0b3AgQ2VudHJhbDEpMCcGCSqGSIb3DQEJARYac3VwcG9ydEBkZXNrdG9wY2VudHJhbC5jb22CCQD1nO9x5ttypTAMBgNVHRMEBTADAQH/MA0GCSqGSIb3DQEBBQUAA4GBAEXoUjGeAGFqUEmrwcwKyJ3um3Yw+ViJWnuCtsiSipqlcj1Ip+/P5SN7RRR2MUUijiIZjnEguG7qr95qTuahPl8w+0nyfZVXm2yxkAwDSjuRP3pxAPUhkcXiA11jTnpeK3TCgX/Na+eBNQCGT2LosP5A8aFT5yXOF7T/hxnZybr1
-----END CERTIFICATE-----"
